Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SAR,RSI,STOCH_K,STOCH_D,WILLR,ROC,OBV,AD,MFI,ATR,STDDEV,ADX,PLUS_DI,MINUS_DI,ICHIMOKU_CONV,PIVOT,R1,S1
2010-01-04,13.519426345825195,13.616549653410942,13.422304273213605,13.461154090237567,47800900,,,,,,,,,,,,,,,47800900.0,-303.90877820523013,,,,,,,,13.519426757483247,13.616549241752889,13.422303861555552
2010-01-05,13.512950897216797,13.590648051460748,13.338130447706908,13.558274443021435,52357700,,,,,,,,,13.616549653410942,,,,,,-4556800.0,20137509.38008263,,,,,,,,13.480576465461484,13.62302248321606,13.370504879462219
2010-01-06,13.467629432678223,13.551802811305507,13.383457289025241,13.474104402955268,40037400,,,,,,,,,13.610981269296861,,,,,,-44594200.0,20137215.66772566,,,,,,,,13.467629844336324,13.551802399647407,13.383456877367141
2010-01-07,13.338129043579102,13.441726061647866,13.16978358047389,13.422301157644771,54041500,,,,,,,,,13.605524252865061,,,,,,-98635700.0,33004286.223717842,,,,,,,,13.316546228566954,13.463308876660019,13.191366395486043
2010-01-08,13.487053871154785,13.525902456482166,13.208636333864321,13.299284679593892,48234700,,,,,,13.597253001064475,13.46503791809082,13.332822835117165,13.588094625969415,,,,,,-50401000.0,69426506.25750522,,,0.06610754148682774,,,,,13.40719755383376,13.605758773803197,13.288492651185352
2010-01-11,13.564749717712402,13.694245389364958,13.480576357912916,13.668346749024058,51086400,,,,,,13.624899238350523,13.474102592468261,13.323305946586,13.16978358047389,,,,,,685400.0,58590337.176211104,,,0.07539832294113076,,,,,13.579857154996759,13.679137952080602,13.46546892062856
2010-01-12,13.3446044921875,13.532373631084461,13.195682692748079,13.512949961355691,69958400,,,,,,13.614828266180421,13.440433311462403,13.266038356744385,13.180272816651712,,,,,,-69273000.0,50518549.6605306,,,0.08719747735900926,,,,,13.357553605340014,13.519424517931949,13.182733579595567
2010-01-13,13.571222305297852,13.648920689705951,13.234532599459886,13.415826771455578,71446700,,,,,,13.665576611568458,13.461151885986329,13.2567271604042,13.190552268105977,,,,,,2173700.0,95172524.23256859,,,0.10221236279106449,,,,,13.484891864821229,13.735251130182572,13.320863039936507
2010-01-14,13.907914161682129,13.953237707664746,13.629496682104321,13.668346494352855,150821600,,,,,,13.945803102283612,13.575108909606934,13.204414716930255,13.195682692748079,,67.96450184431927,63.19286947436634,,,152995300.0,203764260.3409685,,,0.18534709633833912,,,,,13.830216183817065,14.030935685529808,13.707194659969383
2010-01-15,13.467629432678223,13.856119004480812,13.448205756821391,13.849644034203767,198078600,,,,,,13.945913671629553,13.571224021911622,13.19653437219369,13.225984893344746,,68.81935529920514,66.17075500942552,,,-45083300.0,24549546.437589347,,,0.18734482485896561,,,,,13.590651397993476,13.73309703916556,13.32518379150614
2010-01-19,13.629501342773438,13.707199758865823,13.50000562925203,13.532379248888775,82573500,,,,,,13.96154015558135,13.584174346923827,13.206808538266305,13.255075005917545,,62.39357014643287,66.3924757633191,,0.8141987250977811,37490200.0,45192429.260707006,,,0.18868290432876142,,,,,13.612235576963764,13.724465524675498,13.517271395061705
2010-01-20,13.64892292022705,13.687771501292815,13.500002330329856,13.590649431141344,65670100,,,,,,13.936630780379927,13.645038032531739,13.35344528468355,13.283001513987433,,50.273829675367665,60.49558504033522,,1.0062348634616747,103160300.0,83688843.71516968,,,0.14579637392409392,,,,,13.612232250616573,13.72446217090329,13.536692999940332
2010-01-21,13.493526458740234,13.797842587526397,13.389929426175836,13.694245554961999,73633300,,,,,,13.942653878812694,13.629498863220215,13.316343847627737,13.309810961734525,,44.438120030754796,52.36850661751844,,0.19229090161312357,29527000.0,47456599.139161885,,,0.15657750779623883,,,,,13.560432824147489,13.73093622211914,13.32302306076858
2010-01-22,12.89136791229248,13.461152825362603,12.82661945831078,13.448202887571455,116302400,,,,,,13.979891010565536,13.426189613342284,12.872488216119033,13.953237707664746,,27.446014614100246,40.71932144007423,-94.25284882267542,-3.3495037409440043,-86775400.0,-45110561.753242835,,,0.2768506986116259,,,,,13.059713398655289,13.292807338999797,12.658273971947974
2010-01-25,13.15683364868164,13.325179111840717,13.04028669457352,13.105035139630685,73785600,,,,,,13.953774889198524,13.364030456542968,12.774286023887413,13.930705342677667,43.60725848866004,19.559988274386416,30.481374306413816,-70.68978861648884,-2.4484236930305214,-12989800.0,-58526096.3121905,41.875817210828004,0.3436281366589397,0.2948722163277781,,13.9009208510094,29.67319632067791,,13.174099818365292,13.307912942157063,13.023020524889867
2010-01-26,12.9496431350708,13.195685811248495,12.917269521222806,13.066190120882311,65298900,,,,,,13.823742451880364,13.228058815002441,12.63237517812452,13.90862362499033,40.42658089482118,17.65200735306321,21.55267008051662,-89.08026948519912,-4.534595885970649,-78288700.0,-108639380.74994195,41.48891211439758,0.33897014761370753,0.2978418184389612,,13.032232514776808,30.580035703899068,,13.020866155847367,13.124462790471927,12.846046500446239
2010-01-27,13.105034828186035,13.16330830385521,12.833092353387832,12.949639304726182,74926200,,,,,,13.541081337881987,13.119281196594239,12.69748105530649,13.88698354165674,43.74091398420797,25.111058931673664,20.77435151970776,-75.28751464527528,-1.7952548847867233,-3362500.0,-60157754.89303784,46.43670812226922,0.3383448478175412,0.21090007064387453,,12.068900044938363,30.203898889891708,,13.03381182847636,13.234531303564887,12.904315353097509
2010-01-28,12.897847175598145,13.20216340516967,12.742451575286655,13.143889900681055,76974600,,,,,,13.219965169336737,13.00014533996582,12.780325510594905,13.86577625998982,40.50516525440339,20.985024353078817,21.24936354593856,-87.16572678229481,-4.961786893998776,-80337100.0,-85093171.2210376,45.64989444937137,0.34701391796507514,0.10990991468545781,,10.864827808433088,29.15764431868888,,12.947487385351488,13.152523195416322,12.692811365533306
2010-01-29,12.561148643493652,13.098558572399105,12.496400206341752,13.033810135247203,96053900,,,,,,13.353126606575549,12.934101486206055,12.515076365836562,13.820843272601694,35.86229023393592,19.366900821509745,21.820994702087404,-95.55554843329469,-9.683447154850633,-176391000.0,-160490246.51206213,40.27718468734706,0.3652385214002378,0.209512560184747,,9.524430363803658,30.60156168586702,,12.718702474078171,12.94100474181459,12.338846375757237
2010-02-01,12.697124481201172,12.787771580759141,12.587052473891875,12.606476146669092,50338300,13.310613012313842,13.310613012313842,,,,13.225575401309605,12.842159652709961,12.458743904110317,13.741376688626097,38.907850475544976,19.291658002378906,19.881194392322485,-86.22191736023156,-5.721162401509772,-126052700.0,-155618678.23378527,36.29532940267624,0.3553374082477558,0.19170787429982156,,9.070867598706828,29.1442851449758,,12.69064951195073,12.794246550009584,12.593527443142317
2010-02-02,12.89136791229248,12.975541272960905,12.664748940843548,12.742447332616397,63332500,13.279210090637207,13.270684907549903,,,,13.2035451945312,12.830504608154296,12.457464021777392,13.666678099689037,43.066844375882084,30.738818360934243,23.13245906160763,-72.88869173177878,-5.415703861185839,-62720200.0,-126591460.65960798,41.41512201428645,0.35215561709558446,0.18652029318845192,,12.44478383072135,27.229215275436836,,12.843886042032311,13.023023143221074,12.712230811103717
2010-02-03,12.844371795654297,12.974903280414399,12.707312305075964,12.909638160460531,45582300,13.245781135559081,13.230083658797941,,,,13.039424506295251,12.778372001647949,12.517319497000646,13.596461426088199,42.3162414050429,44.56941420247199,31.53329685526171,-76.11459143545233,-5.894612558625035,-108302500.0,-125479459.33283679,36.48557014842219,0.3461152855415023,0.1305262523236513,,11.730092516485254,25.66546905730011,,12.842195793714886,12.977079282353808,12.709488307015373
2010-02-04,12.413619041442871,12.779109044929315,12.367932946613656,12.77258228211761,90931100,13.193080615997314,13.152325123811744,,,,13.035995600939248,12.681526374816894,12.32705714869454,13.530457752903413,36.10491528991436,37.17350433821278,37.49391230053967,-96.93008178730749,-8.0031518861985,-199233600.0,-196203709.39898893,25.20052444261976,0.35542411150572645,0.1772346130611771,,10.566543991291773,30.185421912429135,,12.520220344328614,12.672507742043571,12.261331643727912
2010-02-05,12.707318305969238,12.779111465644876,12.400567864828442,12.465834260456024,88711700,13.161540079116822,13.109943522112458,,,,13.044181184646524,12.710760307312011,12.377339429977498,13.437455768400232,42.32148483853997,37.1377502710751,39.62688960391995,-76.26525833206179,-1.427696483223806,-110521900.0,-141141466.0505397,36.15017194156331,0.3570755035993484,0.16671043866725652,,9.739928145529198,27.82388740866186,,12.62899921214752,12.857430559466597,12.478886958650163
2010-02-08,12.628998756408691,12.916170130459628,12.596364938418319,12.713844193477922,62563200,13.118637323379517,13.0641392587121,,,,13.037173565337524,12.697135162353515,12.357096759369506,13.351893942657306,41.17113949444898,35.02502911971541,36.44542790966776,-81.74249600636364,-4.01186870919995,-173085100.0,-190936417.55111215,34.598401611398764,0.35441333848805995,0.17001920149200403,,11.940523726402342,25.975014224534466,,12.713844608428879,12.831324278439439,12.51151908639813
2010-02-09,12.824792861938477,12.981431407040562,12.68773460179384,12.818266100285994,69454100,13.08163948059082,13.041344363781278,,,,12.996506991184864,12.683820152282715,12.371133313380566,13.273177062973813,45.18257736638422,57.76335263505155,43.30871067528068,-68.04973529423879,-0.9641213416468508,-103631000.0,-195566808.63868544,41.198168762616994,0.35427186078404643,0.15634341945107413,,12.421271188986873,24.076321202791732,,12.831319623590959,12.974904645388078,12.681207840141356
2010-02-10,12.850903511047363,12.968382764020058,12.69426492203472,12.785637121078883,56250600,13.056954431533814,13.023207139711381,,,,13.00052822009208,12.685126495361327,12.369724770630574,13.200757533665001,45.71419412384638,65.38604034083308,52.7248073652,-55.82127860806867,-1.9391884147617167,-47380400.0,-187531081.62472993,47.511713322258984,0.3485465737269959,0.15770086236537673,,11.704628856479763,22.687243489050392,,12.837850399034046,12.981435876033373,12.707318034048035
2010-02-11,13.092389106750488,13.183762561612605,12.75953159833484,12.811744467604766,58837300,13.033012771606446,13.02979589847701,,,,13.136283218296654,12.820880508422851,12.505477798549048,12.367932946613656,50.495865920445524,80.50840849828643,67.88593382472366,-24.31871900317409,1.5083287040367876,11456900.0,-154039255.39317235,56.50825993955081,0.3539526015520508,0.15770135493690193,39.80882662186446,15.131509360897939,20.697052905341003,,13.011894422232643,13.264257246130446,12.840026282852682
2010-02-12,13.333871841430664,13.497037182133727,12.916168967583708,13.027120204203143,91108900,13.004310655593873,13.058755512091643,,,,13.432893139982088,12.946191215515137,12.459489291048186,12.384249538913636,54.78487303940962,82.98043131369617,76.29162671760521,-14.450866055595707,6.151692172970669,102565800.0,-114115165.77601424,57.31172730787839,0.3701608596233343,0.24335096223347516,37.20074012573723,19.57559362715058,18.32648672548744,,13.249025997049367,13.581883026515026,13.001014811965007
2010-02-16,13.523147583007812,13.60799428611257,13.4121950638461,13.457882420438837,69083400,13.007086563110352,13.102983328369374,,,,13.667950532916601,13.125020980834961,12.582091428753321,12.428761044642439,57.866211231175015,86.99914090729938,83.49599357309398,-6.8421375945033756,6.5055919001945295,171649200.0,-104904309.30726577,64.22889572050784,0.3633009728418037,0.2714647760408203,35.1832132200234,20.725343259695357,17.318388786622737,,13.51444564432216,13.61669622479822,13.42089700253175
2010-02-17,13.48398208618164,13.61451484148735,13.399136666629758,13.61451484148735,47296700,12.999810600280762,13.139268924351494,,,,13.763041155093376,13.256858825683594,12.750676496273812,12.499515039130646,57.00058915509374,86.1598980582301,85.37982342640855,-10.471253901769195,4.596984415626504,124352500.0,-114937174.58888869,58.138145148262396,0.3527350587000743,0.25309116470489096,33.25249185229848,19.803601085280366,16.81781523772931,,13.499211198099582,13.599285729569406,13.383907554711813
2010-02-18,13.60146427154541,13.607991035213724,13.412191859722956,13.470931487884899,42613600,12.997437667846679,13.183287528846153,,,,13.766482416326935,13.406970977783203,13.04745953923947,12.588715023319182,58.98268026525848,91.68974420924606,88.28292772492517,-1.0469083495924545,5.894351922662855,166966100.0,-75164535.44134292,64.95191318599316,0.3415253527565524,0.17975571927186648,31.459679153696776,18.977304236193397,16.116099035730493,,13.540549055494031,13.668906251265106,13.473107075774339
2010-02-19,13.588412284851074,13.686311261269717,13.43177367361064,13.52314588562097,40760000,13.002181959152221,13.221870838941859,,,,13.698658316501726,13.50617561340332,13.313692910304914,12.670779008772636,58.65917129967752,90.52576474250718,89.45846900332778,-7.425711977383564,9.463744935994534,126206100.0,-65758350.927081764,73.62800418929228,0.3353119409638755,0.09624135154920307,30.114562368414454,19.628124153002375,15.226648118747493,,13.568832406577144,13.705891139543647,13.451353551884571
2010-02-22,13.62104320526123,13.679781582717215,13.477456908571959,13.67325606455203,38730600,13.038665723800658,13.2598872547818,0.004107636079822896,-0.17748442936976577,0.18159206544958867,13.666855163533278,13.563609886169434,13.460364608805591,12.772332234022343,59.260777001794686,87.67804241777775,89.964517123177,-4.9506317938423905,7.190540736378437,164936700.0,-49516086.682546526,79.03454000870288,0.32581285047683123,0.05162263868192162,28.86552535350944,18.742652384150247,14.539737493040356,,13.592760565516803,13.708064222461648,13.505739548316392
2010-02-23,13.307767868041992,13.673259212064542,13.242502712544367,13.601466047193497,62245300,13.046212434768677,13.264447313187533,0.004878625515830848,-0.14101181839264645,0.1458904439084773,13.75353993462036,13.52053394317627,13.28752795173218,12.86373013674708,51.510610566521564,59.75541333736955,79.31974016588484,-28.712804892158697,5.374686661433503,102691400.0,-92899458.01509026,71.68086903583942,0.33330882540849865,0.11650299572204516,27.067741195180247,16.985747465296857,18.289721815006192,,13.407843264216966,13.573183815889566,13.14242731636939
