Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.447412490844727,6.462174503704558,6.398306071826209,6.429939013987944,493729600
2010-01-05,6.458558559417725,6.495011876028917,6.424515030395415,6.465186581432348,601904800
2010-01-06,6.355827331542969,6.484167138135582,6.3491993087984255,6.458559270675418,552160000
2010-01-07,6.3440775871276855,6.386858061227115,6.297983905950611,6.379326216802095,477131200
2010-01-08,6.3862528800964355,6.38685582967445,6.298283783591179,6.335640109948334,447610800
2010-01-11,6.329917907714844,6.41698360184954,6.279907273249689,6.410958127279132,462229600
2010-01-12,6.2579145431518555,6.319674855517163,6.218750163570416,6.302200576324454,594459600
2010-01-13,6.346188068389893,6.354623736225955,6.14885892484844,6.262436753375311,605892000
2010-01-14,6.309431076049805,6.3404618667800134,6.297079255842104,6.3299176888809425,432894000
2010-01-15,6.203989028930664,6.3748076439021775,6.202181386231365,6.3546223004266755,594067600
2010-01-19,6.478440284729004,6.482959389576428,6.243452866180764,6.2762904880351496,730007600
2010-01-20,6.378721714019775,6.493805036423854,6.311538893282231,6.474523924056445,612152800
2010-01-21,6.268457412719727,6.426321601977889,6.242548680903384,6.3892661463198,608154400
2010-01-22,5.957553386688232,6.251288520918056,5.939779035915653,6.229597610515873,881767600
2010-01-25,6.117827892303467,6.166933919293409,6.031063037541384,6.1009569594951385,1065699600
2010-01-26,6.20428991317749,6.438374398988701,6.103064341780354,6.204591186941792,1867110000
2010-01-27,6.262736797332764,6.344078313022043,6.011178393804465,6.231705996985796,1722568400
2010-01-28,6.0039472579956055,6.191034242454007,5.986172910449639,6.173862442433983,1173502400
2010-01-29,5.786132335662842,6.0916171344672545,5.731602983925352,6.0578752729396514,1245952400
2010-02-01,5.866569995880127,5.9048309616294015,5.763235502319775,5.795470992444065,749876400
2010-02-02,5.900613307952881,5.914471902311369,5.825899419106704,5.902120079139591,698342400
2010-02-03,6.002139091491699,6.031362241714344,5.857229642029051,5.879824770044892,615328000
2010-02-04,5.785830974578857,5.976231175493704,5.771369833232195,5.926823080361976,757652000
2010-02-05,5.888561725616455,5.904830508555619,5.749677740994549,5.803303665472851,850306800
2010-02-08,5.848193645477295,5.961470192181512,5.84457835951625,5.895492832331458,478270800
2010-02-09,5.910554885864258,5.950020542650205,5.867172267871356,5.917483780272863,632886800
2010-02-10,5.8783183097839355,5.922906419882267,5.852409573302951,5.901515582677106,370361600
2010-02-11,5.985269069671631,6.017806235918528,5.846385073937929,5.8710891218466665,550345600
2010-02-12,6.036786079406738,6.074745771483125,5.889767691614938,5.968398137572006,655468800
2010-02-16,6.127768039703369,6.136504576136544,6.071129781940066,6.0837828770864,543737600
2010-02-17,6.102160453796387,6.1551830233001334,6.051245593776783,6.151567738406341,436396800
2010-02-18,6.113608360290527,6.14253023866708,6.0530535419647755,6.074443174197505,422825200
2010-02-19,6.075650691986084,6.121744787570016,6.058779758253576,6.081375297495492,415469600
2010-02-22,6.037989616394043,6.10065334437242,6.000934154992532,6.095833367016093,390563600
2010-02-23,5.936763763427734,6.0654048217272,5.896093019353718,6.025336222837522,575094800
2010-02-24,6.045220375061035,6.068718920269862,5.960262394467364,5.972012069306375,460566400
2010-02-25,6.0855913162231445,6.111500057401813,5.931644031380077,5.946406044689043,665126000
2010-02-26,6.164521217346191,6.181090868483355,6.085589519730059,6.097037518006866,507460800
2010-03-01,6.296175003051758,6.3115391561710625,6.189526132140279,6.19856394025185,550093600
2010-03-02,6.291958808898926,6.351609403767862,6.258517824150557,6.324495167908173,566546400
2010-03-03,6.306418418884277,6.3226872009060155,6.264542977803897,6.294669547448958,372052800
2010-03-04,6.347995281219482,6.354322031667691,6.28533153110339,6.304914732344504,366041200
2010-03-05,6.596237659454346,6.61883278758318,6.466090220203204,6.475429706086769,899620400
2010-03-08,6.600154876708984,6.630582320597713,6.575149556179324,6.628172532686424,429889600
2010-03-09,6.71885347366333,6.778504066823439,6.564303661064897,6.576956756245125,920259200
2010-03-10,6.773683071136475,6.7929645892540895,6.724275789898513,6.743255632060934,596218000
2010-03-11,6.793567180633545,6.793567180633545,6.727891512516615,6.745666664251123,405700400
2010-03-12,6.826706409454346,6.860749133017184,6.801098545559167,6.849903279126923,416323600
2010-03-15,6.743557929992676,6.7935673640326355,6.635402659048095,6.789952883305829,493502800
2010-03-16,6.761934280395508,6.777901386490509,6.7034887833727375,6.75380029159429,446908000
2010-03-17,6.751993179321289,6.822187955561928,6.72638571370398,6.775491728578521,450956800
2010-03-18,6.7679595947265625,6.778503773214261,6.7065009595060365,6.751389137071142,342109600
2010-03-19,6.695656776428223,6.7857356290714534,6.664927251875943,6.77217871066484,559445600
2010-03-22,6.770970344543457,6.808629148120012,6.632387685034812,6.642028441722443,456419600
2010-03-23,6.879729270935059,6.892382767684493,6.751389074455668,6.797784424734351,602431200
2010-03-24,6.910158157348633,6.935163477202838,6.854122042438086,6.8580390035541345,597780400
2010-03-25,6.828212738037109,6.958360578216668,6.816161788630876,6.9568538073062625,542284400
2010-03-26,6.9562530517578125,6.987885591735591,6.885454920650151,6.897505871767038,640875200
2010-03-29,7.001143455505371,7.0457311868671155,6.977946572621907,7.019521565076126,540744400
2010-03-30,7.105378150939941,7.154485367620817,7.057175157700727,7.127973278881159,527310000
2010-03-31,7.079770565032959,7.128275236156632,7.063502587133618,7.094533380898394,430659600
2010-04-01,7.108994483947754,7.192143633846955,7.011986740164,7.152377103812635,603145200
2010-04-05,7.184911251068115,7.185513798408884,7.072839859092399,7.079167008405009,684507600
2010-04-06,7.216545581817627,7.237633937190639,7.1400236679000155,7.1761757088746005,447017200
2010-04-07,7.248481273651123,7.288248607305319,7.1900349660298035,7.2168479296511565,628502000
2010-04-08,7.228898048400879,7.276799366194867,7.171355970959519,7.243660059376287,572989200
2010-04-09,7.284329414367676,7.287342955650429,7.244261221449886,7.27348436630767,334182800
2010-04-12,7.29939603805542,7.3228945901960865,7.284934895526128,7.296684171596461,333026400
2010-04-13,7.303613185882568,7.314760718998667,7.263845847748187,7.286441785553267,306210800
2010-04-14,7.401824951171875,7.405440235941437,7.353020215721272,7.389473130443826,404076400
2010-04-15,7.499135494232178,7.502449103539689,7.3964031475975975,7.404537137330117,376784800
2010-04-16,7.453341960906982,7.566015928992251,7.367480954097467,7.488589782638069,750545600
2010-04-19,7.443399429321289,7.468103069143738,7.283727580435022,7.4421943344777945,566924400
2010-04-20,7.368689060211182,7.509079465948304,7.319582626037192,7.487689423383312,738326400
2010-04-21,7.809439182281494,7.840469974814591,7.704296659727096,7.796785685385917,982391200
2010-04-22,8.027856826782227,8.036292490764808,7.718455560837893,7.779914593956067,793424800
2010-04-23,8.159208297729492,8.199879039128604,8.043823290235338,8.073648178807034,796955600
2010-04-26,8.119142532348633,8.208317157752129,8.079676069433583,8.190844082994902,479068800
2010-04-27,7.894395351409912,8.06913008219505,7.848603356079456,8.051957882828832,709343600
2010-04-28,7.881141662597656,7.953444954361459,7.724784195275597,7.9308506281992805,758402400
2010-04-29,8.093234062194824,8.134205688673735,7.893493964115195,7.9239214101845405,558840800
2010-04-30,7.865774631500244,8.151374836985429,7.863063570642637,8.113415158164347,542463600
2010-05-03,8.024239540100098,8.070334004555054,7.919699598715457,7.948621868010801,454342000
2010-05-04,7.79317045211792,7.932054829510123,7.735026631933845,7.920004684475295,723819600
2010-05-05,7.712131977081299,7.776904642012629,7.493412009445116,7.622957339307775,883103200
2010-05-06,7.41869592666626,7.780215537237827,6.00274123591298,7.64705577244639,1285860800
2010-05-07,7.105677127838135,7.428334374729698,6.784828327347702,7.342172522707104,1676018400
2010-05-10,7.651875972747803,7.671760039658023,7.487384532473235,7.539202811466963,984306400
2010-05-11,7.7280988693237305,7.829625318113139,7.546736075088415,7.587105152897194,848906800
2010-05-12,7.895902156829834,7.927233818576712,7.793773183556162,7.810040355153041,654379600
2010-05-13,7.783529281616211,7.983570185332904,7.724480442735686,7.92994427288245,599712400
2010-05-14,7.646758079528809,7.726895320906289,7.516610984110962,7.68712797409092,759362800
2010-05-17,7.658806324005127,7.717855177818806,7.462681526432177,7.673267464809131,762834800
2010-05-18,7.6027727127075195,7.7892567914521,7.539506012009583,7.741958006197851,782678400
2010-05-19,7.481662273406982,7.619642457334495,7.376520531779189,7.516609230093463,1025726800
2010-05-20,7.162919998168945,7.346391252129695,7.1162229781147515,7.287040737003707,1282915200
2010-05-21,7.30029821395874,7.365974275584888,6.9698077830968925,7.014093812966433,1223891200
2010-05-24,7.434061050415039,7.558785978615749,7.4189981662842985,7.449727286559135,754238800
2010-05-25,7.387667179107666,7.434061735331681,7.144846127787995,7.210823078761623,1048006400
2010-05-26,7.354223251342773,7.5958399153999405,7.343377398884688,7.534080017828388,850654000
2010-05-27,7.632595062255859,7.648863843856536,7.504858217194208,7.5497467967588685,666282400
2010-05-28,7.738943576812744,7.81486295748544,7.632595947776507,7.8145620859518115,815614800
2010-06-01,7.857943058013916,8.011890317014029,7.801606076080032,7.823598656575655,876472800
2010-06-02,7.951938152313232,7.977545210910071,7.842878678441926,7.969712094465177,688548000
2010-06-03,7.926934242248535,8.000141755445346,7.845290259222875,7.988994223985602,650106800
2010-06-04,7.7112274169921875,7.89017921370683,7.671159211356839,7.77901200564106,758304400
2010-06-07,7.559988975524902,7.807328640172302,7.5482388994432394,7.781419907440134,886942000
2010-06-08,7.511486053466797,7.646152593297896,7.400619735746495,7.629281264647984,1000770400
2010-06-09,7.326809406280518,7.588912739831344,7.305420176908556,7.575957566452148,854630000
